WAP001;WAP002;WAP003;WAP004;WAP005;WAP006;WAP007;WAP008;WAP009;WAP010;WAP011;WAP012;WAP013;WAP014;WAP015;WAP016;WAP017;WAP018;WAP019;WAP020;WAP021;WAP022;WAP023;WAP024;WAP025;WAP026;WAP027;WAP028;WAP029;WAP030;WAP031;WAP032;WAP033;WAP034;WAP035;WAP036;WAP037;WAP038;WAP039;WAP040;WAP041;WAP042;WAP043;WAP044;WAP045;WAP046;WAP047;WAP048;WAP049;WAP050;WAP051;WAP052;WAP053;WAP054;WAP055;WAP056;WAP057;WAP058;WAP059;WAP060;WAP061;WAP062;WAP063;WAP064;WAP065;WAP066;WAP067;WAP068;WAP069;WAP070;WAP071;WAP072;WAP073;WAP074;WAP075;WAP076;WAP077;WAP078;WAP079;WAP080;WAP081;WAP082;WAP083;WAP084;WAP085;WAP086;WAP087;WAP088;WAP089;WAP090;WAP091;WAP092;WAP093;WAP094;WAP095;WAP096;WAP097;WAP098;WAP099;WAP100;WAP101;WAP102;WAP103;WAP104;WAP105;WAP106;WAP107;WAP108;WAP109;WAP110;WAP111;WAP112;WAP113;WAP114;WAP115;WAP116;WAP117;WAP118;WAP119;WAP120;WAP121;WAP122;WAP123;WAP124;WAP125;WAP126;WAP127;WAP128;WAP129;WAP130;WAP131;WAP132;WAP133;WAP134;WAP135;WAP136;WAP137;WAP138;WAP139;WAP140;WAP141;WAP142;WAP143;WAP144;WAP145;WAP146;WAP147;WAP148;WAP149;WAP150;WAP151;WAP152;WAP153;WAP154;WAP155;WAP156;WAP157;WAP158;WAP159;WAP160;WAP161;WAP162;WAP163;WAP164;WAP165;WAP166;WAP167;WAP168;WAP169;WAP170;WAP171;WAP172;WAP173;WAP174;WAP175;WAP176;WAP177;WAP178;WAP179;WAP180;WAP181;WAP182;WAP183;WAP184;WAP185;WAP186;WAP187;WAP188;WAP189;WAP190;WAP191;WAP192;WAP193;WAP194;WAP195;WAP196;WAP197;WAP198;WAP199;WAP200;WAP201;WAP202;WAP203;WAP204;WAP205;WAP206;WAP207;WAP208;WAP209;WAP210;WAP211;WAP212;WAP213;WAP214;WAP215;WAP216;WAP217;WAP218;WAP219;WAP220;WAP221;WAP222;WAP223;WAP224;WAP225;WAP226;WAP227;WAP228;WAP229;WAP230;WAP231;WAP232;WAP233;WAP234;WAP235;WAP236;WAP237;WAP238;WAP239;WAP240;WAP241;WAP242;WAP243;WAP244;WAP245;WAP246;WAP247;WAP248;WAP249;WAP250;WAP251;WAP252;WAP253;WAP254;WAP255;WAP256;WAP257;WAP258;WAP259;WAP260;WAP261;WAP262;WAP263;WAP264;WAP265;WAP266;WAP267;WAP268;WAP269;WAP270;WAP271;WAP272;WAP273;WAP274;WAP275;WAP276;WAP277;WAP278;WAP279;WAP280;WAP281;WAP282;WAP283;WAP284;WAP285;WAP286;WAP287;WAP288;WAP289;WAP290;WAP291;WAP292;WAP293;WAP294;WAP295;WAP296;WAP297;WAP298;WAP299;WAP300;WAP301;WAP302;WAP303;WAP304;WAP305;WAP306;WAP307;WAP308;WAP309;WAP310;WAP311;WAP312;WAP313;WAP314;WAP315;WAP316;WAP317;WAP318;WAP319;WAP320;WAP321;WAP322;WAP323;WAP324;WAP325;WAP326;WAP327;WAP328;WAP329;WAP330;WAP331;WAP332;WAP333;WAP334;WAP335;WAP336;WAP337;WAP338;WAP339;WAP340;WAP341;WAP342;WAP343;WAP344;WAP345;WAP346;WAP347;WAP348;WAP349;WAP350;WAP351;WAP352;WAP353;WAP354;WAP355;WAP356;WAP357;WAP358;WAP359;WAP360;WAP361;WAP362;WAP363;WAP364;WAP365;WAP366;WAP367;WAP368;WAP369;WAP370;WAP371;WAP372;WAP373;WAP374;WAP375;WAP376;WAP377;WAP378;WAP379;WAP380;WAP381;WAP382;WAP383;WAP384;WAP385;WAP386;WAP387;WAP388;WAP389;WAP390;WAP391;WAP392;WAP393;WAP394;WAP395;WAP396;WAP397;WAP398;WAP399;WAP400;WAP401;WAP402;WAP403;WAP404;WAP405;WAP406;WAP407;WAP408;WAP409;WAP410;WAP411;WAP412;WAP413;WAP414;WAP415;WAP416;WAP417;WAP418;WAP419;WAP420;WAP421;WAP422;WAP423;WAP424;WAP425;WAP426;WAP427;WAP428;WAP429;WAP430;WAP431;WAP432;WAP433;WAP434;WAP435;WAP436;WAP437;WAP438;WAP439;WAP440;WAP441;WAP442;WAP443;WAP444;WAP445;WAP446;WAP447;WAP448;WAP449;WAP450;WAP451;WAP452;WAP453;WAP454;WAP455;WAP456;WAP457;WAP458;WAP459;WAP460;WAP461;WAP462;WAP463;WAP464;WAP465;WAP466;WAP467;WAP468;WAP469;WAP470;WAP471;WAP472;WAP473;WAP474;WAP475;WAP476;WAP477;WAP478;WAP479;WAP480;WAP481;WAP482;WAP483;WAP484;WAP485;WAP486;WAP487;WAP488;WAP489;WAP490;WAP491;WAP492;WAP493;WAP494;WAP495;WAP496;WAP497;WAP498;WAP499;WAP500;WAP501;WAP502;WAP503;WAP504;WAP505;WAP506;WAP507;WAP508;WAP509;WAP510;WAP511;WAP512;WAP513;WAP514;WAP515;WAP516;WAP517;WAP518;WAP519;WAP520;LONGITUDE;LATITUDE
100;100;100;100;100;100;100;100;100;100;100;-80;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-92;100;100;100;100;100;100;100;100;100;-95;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-71;-72;100;100;-82;-86;100;100;100;100;100;100;100;100;-66;-67;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-88;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-76;100;100;100;100;100;-76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-7.365.170.680.462.730;4.864.841.708.260.020
100;100;100;100;100;100;100;100;100;100;-79;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-79;100;100;100;100;100;100;100;-85;-79;100;100;100;100;100;100;-76;-76;100;100;100;-73;-70;-79;-79;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-67;-70;100;100;-82;-79;100;100;100;100;100;100;100;100;-61;-61;100;100;100;100;100;100;100;100;100;100;100;100;-85;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-85;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-70;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-61;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;-73;100;100;-73;100;100;-73;100;100;-73;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-7.360.235.236.726.830;4.864.837.779.274.170
100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-70;-71;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-78;-81;-72;-69;100;100;100;100;100;100;100;100;100;100;100;-61;-61;-41;-41;100;100;100;100;100;100;100;100;100;100;100;100;-80;100;100;100;-79;-74;-80;-80;100;100;100;100;100;100;100;-62;-62;100;100;100;100;100;100;100;100;100;100;100;100;-83;-85;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-88;-89;-72;100;100;-68;100;100;100;100;-78;-77;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-81;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-7.535.763.000.000.260;4.864.917.735.200.000
100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-79;-80;100;100;100;100;100;100;-66;-66;-87;-86;100;100;-90;-72;100;100;-91;100;100;100;100;100;100;100;100;100;-88;100;100;100;100;100;100;100;100;100;-91;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-85;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-7.396.549.482.593.190;48.648.135.592.631.800
100;100;100;100;100;100;100;100;100;100;-75;-74;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-90;-88;100;100;-90;-88;100;-79;100;100;100;100;100;100;100;-84;100;100;-84;-84;100;100;100;-88;-88;100;-75;100;-84;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-72;-72;100;100;100;-86;100;100;100;100;-55;-60;100;100;-85;-87;100;100;100;100;100;-76;-76;100;100;100;100;100;-90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-84;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-83;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-94;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-67;-90;-72;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-7.329.030.799.999.830;4.864.826.035.400.000
100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-87;-86;100;100;100;100;100;100;100;100;100;100;100;100;-81;100;100;100;100;100;100;-91;-90;100;-89;100;100;100;100;100;100;100;100;100;100;-69;-69;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-50;-43;100;100;100;100;100;100;100;100;-72;-72;100;100;-78;-77;100;100;100;100;100;-83;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-81;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-83;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-79;-78;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-73.114.756.875.463.700;4.864.813.082.901.000
100;100;100;100;100;100;100;100;100;100;-55;-55;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-79;100;100;100;100;100;100;100;-85;100;100;100;100;100;100;100;-85;-76;100;100;100;100;-70;-79;-79;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-73;-73;100;100;-55;-52;100;100;100;100;100;100;100;100;-37;-37;100;100;100;100;100;100;100;100;100;100;100;-76;-79;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-79;-85;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-70;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-52;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;-81;100;100;-73;100;100;-81;100;100;-73;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-7.374.888.738.568.870;4.864.844.465.776.990
100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-84;-84;-72;-74;-87;-86;100;-83;100;100;-82;-81;100;100;100;100;100;100;-81;100;100;100;100;100;100;-91;-90;100;-89;100;100;100;100;100;100;100;100;100;100;-76;-76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-63;-60;100;100;100;100;100;100;100;100;-81;-81;100;100;-78;-77;100;100;100;100;100;-83;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-89;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-81;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-83;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-89;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-79;-86;100;100;100;100;100;-91;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-7.316.672.522.646.040;4.864.800.541.040.670
100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-71;-73;-94;-94;100;100;100;100;100;100;-58;-59;100;100;-80;-79;100;100;-88;-85;100;100;100;100;100;-96;-95;100;-81;100;100;100;100;100;100;100;100;-98;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-95;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-80;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-7.409.611.999.999.730;48.647.971.854.000.000
100;100;100;100;100;100;100;100;100;100;-69;-69;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-89;-92;-76;-78;100;100;100;100;-88;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-80;-82;100;-80;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-72;-72;100;100;100;100;100;100;100;100;-68;-75;100;100;-84;-86;100;100;100;100;100;-76;-76;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-82;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-83;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-87;100;100;-67;-90;-72;100;100;100;100;100;100;100;100;100;100;100;100;-67;100;100;100;100;100;-67;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;-7.345.316.954.613.950;4.864.829.318.080.080
